row_id,koi_eccen,koi_teq,koi_impact,koi_incl,koi_insol,koi_count,koi_period,koi_steff,koi_smass,koi_smet,koi_slogg
9131,0,3114,0.467,72.22,22251.32,1,0.566792936,6432,0.977,-0.72,4.018
9132,0,2222,0.593,60.78,5739.87,1,0.5668004,6215,0.968,-0.5,4.543
9133,0,7584,0.9476,20.63,781981.98,1,0.566793614,3789,0.969,0.56,1.549
9134,0,2051,0.01,89.66,4160.07,1,0.566798676,5490,0.783,-0.28,4.436
9135,0,2178,0.158,86.48,5335.09,1,0.5667638,5766,0.874,-0.26,4.433
9136,0,352,0.467,87.02,3.64,1,38.51077573,4374,0.621,-0.22,4.626
9137,0,649.7857143,0.482536735,88.33234694,337.7029592,1,4.23965309,5718.357143,1.07844898,-0.151326531,4.242520408
9138,0,2081,0.367,83.26,4429.84,1,0.577910513,5730,0.96,-0.04,4.503
9139,0,2524,0.155,85.73,9645.51,1,0.566807725,5018,0.985,0.32,3.953
9140,0,2680,0.985,12.78,12227.82,1,0.566807422,5616,0.958,-0.08,4.04
9141,0,2324,0.9526,23.49,6894.58,1,1.345078434,6664,1.415,0.12,4.141
9142,0,257,0.89,89.57,1.03,1,366.088938,5941,0.948,-0.24,4.464
9143,0,221,0.7777,89.38,0.57,1,439.1076969,5810,0.885,-0.38,4.567
9144,0,364,0.9853,88.81,4.17,1,414.45008,7037,1.417,-0.16,4.136
9145,0,873,0.816,85.32,137.1,5,5.43103616,5374,0.68,-0.68,4.555
9146,0,4952,0.4978,59.59,142174.84,1,0.594003994,8596,1.994,-0.24,3.793
9147,0,193,0.1169,89.95,0.33,1,328.32211,4906,0.736,-0.32,4.648
9148,0,132,0.2178,89.95,0.07,1,381.97977,3761,0.535,0,4.724
9149,0,572,0.5109,89.38,25.32,1,67.412998,6525,1.194,-0.18,4.248
9150,0,2003,0.9865,12.61,3806.17,1,2.08802799,6593,1.335,-0.08,4.117
9151,0,1235,1.151,21.47,549.92,1,10.4212788,6183,1.268,-0.04,3.908
9152,0,478.7857143,1.057623469,88.09295918,74.95214286,1,359.8249913,5588.397959,1.057734694,-0.145816327,4.275316327
9153,0,4233,1.1716,2.29,75864.33,1,0.778705577,7846,1.898,-0.08,3.743
9154,0,1228,0.988,23.34,537.35,1,4.44709107,6137,0.96,-0.32,4.357
9155,0,274,63.9417,80.21,1.34,1,293.70696,6054,0.938,-0.4,4.508
9156,0,655,0.483,88.73,43.51,1,27.79576243,5915,0.992,-0.06,4.329
9157,0,661,0.479,89.31,45.06,1,20.73374857,5620,0.797,-0.32,4.363
9158,0,793,0.426,89.66,93.68,1,24.2382418,6457,1.233,0,4.259
