,K2_Data,K2_Model4_Merged
1064,CANDIDATE,CONFIRMED
1065,CANDIDATE,CONFIRMED
1066,CANDIDATE,CONFIRMED
1067,CANDIDATE,CONFIRMED
1068,CANDIDATE,CONFIRMED
1069,CANDIDATE,CONFIRMED
1071,CANDIDATE,CONFIRMED
1072,CANDIDATE,CONFIRMED
1076,CANDIDATE,CONFIRMED
1080,CANDIDATE,CONFIRMED
1082,CANDIDATE,CONFIRMED
1086,CANDIDATE,CONFIRMED
1088,CANDIDATE,CONFIRMED
1092,CANDIDATE,CONFIRMED
1093,CANDIDATE,CONFIRMED
1095,CANDIDATE,CONFIRMED
1096,CANDIDATE,CONFIRMED
1097,CANDIDATE,CONFIRMED
1098,CANDIDATE,CONFIRMED
1099,CANDIDATE,CONFIRMED
1100,CANDIDATE,CONFIRMED
1107,CANDIDATE,CONFIRMED
1108,CANDIDATE,CONFIRMED
1109,CANDIDATE,CONFIRMED
1110,CANDIDATE,CONFIRMED
1111,CANDIDATE,CONFIRMED
1112,CANDIDATE,CONFIRMED
1113,CANDIDATE,CONFIRMED
1114,CANDIDATE,CONFIRMED
1115,CANDIDATE,CONFIRMED
1116,CANDIDATE,CONFIRMED
1117,CANDIDATE,CONFIRMED
1118,CANDIDATE,CONFIRMED
1119,CANDIDATE,CONFIRMED
1120,CANDIDATE,CONFIRMED
1121,CANDIDATE,CONFIRMED
1122,CANDIDATE,CONFIRMED
1123,CANDIDATE,CONFIRMED
1124,CANDIDATE,CONFIRMED
1125,CANDIDATE,CONFIRMED
1126,CANDIDATE,CONFIRMED
1127,CANDIDATE,CONFIRMED
1128,CANDIDATE,CONFIRMED
1129,CANDIDATE,CONFIRMED
1130,CANDIDATE,CONFIRMED
1131,CANDIDATE,CONFIRMED
1132,CANDIDATE,CONFIRMED
1133,CANDIDATE,CONFIRMED
1134,CANDIDATE,CONFIRMED
1135,CANDIDATE,CONFIRMED
1136,CANDIDATE,CONFIRMED
1137,CANDIDATE,CONFIRMED
1138,CANDIDATE,CONFIRMED
1139,CANDIDATE,CONFIRMED
1140,CANDIDATE,CONFIRMED
1141,CANDIDATE,CONFIRMED
1144,CANDIDATE,CONFIRMED
1145,CANDIDATE,CONFIRMED
1146,CANDIDATE,CONFIRMED
1147,CANDIDATE,CONFIRMED
1148,CANDIDATE,CONFIRMED
1149,CANDIDATE,CONFIRMED
1150,CANDIDATE,CONFIRMED
1151,CANDIDATE,CONFIRMED
1152,CANDIDATE,CONFIRMED
1153,CANDIDATE,CONFIRMED
1154,CANDIDATE,CONFIRMED
1155,CANDIDATE,CONFIRMED
1156,CANDIDATE,CONFIRMED
1157,CANDIDATE,CONFIRMED
1158,CANDIDATE,CONFIRMED
1159,CANDIDATE,CONFIRMED
1160,CANDIDATE,CONFIRMED
1161,CANDIDATE,CONFIRMED
1162,CANDIDATE,CONFIRMED
1163,CANDIDATE,CONFIRMED
1164,CANDIDATE,CONFIRMED
1165,CANDIDATE,CONFIRMED
1166,CANDIDATE,CONFIRMED
1167,CANDIDATE,CONFIRMED
1168,CANDIDATE,CONFIRMED
1169,CANDIDATE,CONFIRMED
1170,CANDIDATE,CONFIRMED
1171,CANDIDATE,CONFIRMED
1173,CANDIDATE,CONFIRMED
1174,CANDIDATE,CONFIRMED
1175,CANDIDATE,CONFIRMED
1176,CANDIDATE,CONFIRMED
1177,CANDIDATE,CONFIRMED
1178,CANDIDATE,CONFIRMED
1179,CANDIDATE,CONFIRMED
1180,CANDIDATE,CONFIRMED
1181,CANDIDATE,CONFIRMED
1182,CANDIDATE,CONFIRMED
1183,CANDIDATE,CONFIRMED
1184,CANDIDATE,CONFIRMED
1185,CANDIDATE,CONFIRMED
1186,CANDIDATE,CONFIRMED
1187,CANDIDATE,CONFIRMED
1188,CANDIDATE,CONFIRMED
1189,CANDIDATE,CONFIRMED
1190,CANDIDATE,CONFIRMED
1191,CANDIDATE,CONFIRMED
1192,CANDIDATE,CONFIRMED
1193,CANDIDATE,CONFIRMED
1194,CANDIDATE,CONFIRMED
1195,CANDIDATE,CONFIRMED
1196,CANDIDATE,CONFIRMED
1197,CANDIDATE,CONFIRMED
1200,CANDIDATE,CONFIRMED
1201,CANDIDATE,CONFIRMED
1202,CANDIDATE,CONFIRMED
1203,CANDIDATE,CONFIRMED
1204,CANDIDATE,CONFIRMED
1205,CANDIDATE,CONFIRMED
1206,CANDIDATE,CONFIRMED
1207,CANDIDATE,CONFIRMED
1208,CANDIDATE,CONFIRMED
1209,CANDIDATE,CONFIRMED
1210,CANDIDATE,CONFIRMED
1211,CANDIDATE,CONFIRMED
1212,CANDIDATE,CONFIRMED
1213,CANDIDATE,CONFIRMED
1223,CANDIDATE,CONFIRMED
1224,CANDIDATE,CONFIRMED
1225,CANDIDATE,CONFIRMED
1226,CANDIDATE,CONFIRMED
1227,CANDIDATE,CONFIRMED
1228,CANDIDATE,CONFIRMED
1229,CANDIDATE,CONFIRMED
1235,CANDIDATE,CONFIRMED
1236,CANDIDATE,CONFIRMED
1237,CANDIDATE,CONFIRMED
1238,CANDIDATE,CONFIRMED
1239,CANDIDATE,CONFIRMED
1240,CANDIDATE,CONFIRMED
1241,CANDIDATE,CONFIRMED
1242,CANDIDATE,CONFIRMED
1243,CANDIDATE,CONFIRMED
1244,CANDIDATE,CONFIRMED
1245,CANDIDATE,CONFIRMED
1246,CANDIDATE,CONFIRMED
1247,CANDIDATE,CONFIRMED
1248,CANDIDATE,CONFIRMED
1249,CANDIDATE,CONFIRMED
1250,CANDIDATE,CONFIRMED
1251,CANDIDATE,CONFIRMED
1252,CANDIDATE,CONFIRMED
1253,CANDIDATE,CONFIRMED
1254,CANDIDATE,CONFIRMED
1255,CANDIDATE,CONFIRMED
1256,CANDIDATE,CONFIRMED
1258,CANDIDATE,CONFIRMED
1259,CANDIDATE,CONFIRMED
1260,CANDIDATE,CONFIRMED
1261,CANDIDATE,CONFIRMED
1262,CANDIDATE,CONFIRMED
1263,CANDIDATE,CONFIRMED
1264,CANDIDATE,CONFIRMED
1265,CANDIDATE,CONFIRMED
1266,CANDIDATE,CONFIRMED
1267,CANDIDATE,CONFIRMED
1268,CANDIDATE,CONFIRMED
1269,CANDIDATE,CONFIRMED
1270,CANDIDATE,CONFIRMED
1271,CANDIDATE,CONFIRMED
1272,CANDIDATE,CONFIRMED
1273,CANDIDATE,CONFIRMED
1274,CANDIDATE,CONFIRMED
1275,CANDIDATE,CONFIRMED
1280,CANDIDATE,CONFIRMED
1281,CANDIDATE,CONFIRMED
1282,CANDIDATE,CONFIRMED
1283,CANDIDATE,CONFIRMED
1284,CANDIDATE,CONFIRMED
1285,CANDIDATE,CONFIRMED
1286,CANDIDATE,CONFIRMED
1287,CANDIDATE,CONFIRMED
1288,CANDIDATE,CONFIRMED
1289,CANDIDATE,CONFIRMED
1293,CANDIDATE,CONFIRMED
1294,CANDIDATE,CONFIRMED
1295,CANDIDATE,CONFIRMED
1296,CANDIDATE,CONFIRMED
1297,CANDIDATE,CONFIRMED
1298,CANDIDATE,CONFIRMED
1299,CANDIDATE,CONFIRMED
1300,CANDIDATE,CONFIRMED
1301,CANDIDATE,CONFIRMED
1302,CANDIDATE,CONFIRMED
1303,CANDIDATE,CONFIRMED
1304,CANDIDATE,CONFIRMED
1305,CANDIDATE,CONFIRMED
1306,CANDIDATE,CONFIRMED
1307,CANDIDATE,CONFIRMED
1308,CANDIDATE,CONFIRMED
1309,CANDIDATE,CONFIRMED
1310,CANDIDATE,CONFIRMED
1311,CANDIDATE,CONFIRMED
1312,CANDIDATE,CONFIRMED
1313,CANDIDATE,CONFIRMED
1314,CANDIDATE,CONFIRMED
1315,CANDIDATE,CONFIRMED
1316,CANDIDATE,CONFIRMED
1317,CANDIDATE,CONFIRMED
1318,CANDIDATE,CONFIRMED
1319,CANDIDATE,CONFIRMED
1320,CANDIDATE,CONFIRMED
1321,CANDIDATE,CONFIRMED
1322,CANDIDATE,CONFIRMED
1325,CANDIDATE,CONFIRMED
1326,CANDIDATE,CONFIRMED
1327,CANDIDATE,CONFIRMED
1328,CANDIDATE,CONFIRMED
1329,CANDIDATE,CONFIRMED
1330,CANDIDATE,CONFIRMED
1331,CANDIDATE,CONFIRMED
1332,CANDIDATE,CONFIRMED
1333,CANDIDATE,CONFIRMED
1334,CANDIDATE,CONFIRMED
1335,CANDIDATE,CONFIRMED
1336,CANDIDATE,CONFIRMED
1337,CANDIDATE,CONFIRMED
1338,CANDIDATE,CONFIRMED
1339,CANDIDATE,CONFIRMED
1340,CANDIDATE,CONFIRMED
1341,CANDIDATE,CONFIRMED
1342,CANDIDATE,CONFIRMED
1343,CANDIDATE,CONFIRMED
1344,CANDIDATE,CONFIRMED
1345,CANDIDATE,CONFIRMED
1346,CANDIDATE,CONFIRMED
1347,CANDIDATE,CONFIRMED
1348,CANDIDATE,CONFIRMED
1349,CANDIDATE,CONFIRMED
1350,CANDIDATE,CONFIRMED
1351,CANDIDATE,CONFIRMED
1352,CANDIDATE,CONFIRMED
1353,CANDIDATE,CONFIRMED
1354,CANDIDATE,CONFIRMED
1355,CANDIDATE,CONFIRMED
1356,CANDIDATE,CONFIRMED
1357,CANDIDATE,CONFIRMED
1358,CANDIDATE,CONFIRMED
1359,CANDIDATE,CONFIRMED
1360,CANDIDATE,CONFIRMED
1361,CANDIDATE,CONFIRMED
1362,CANDIDATE,CONFIRMED
1363,CANDIDATE,CONFIRMED
1364,CANDIDATE,CONFIRMED
1365,CANDIDATE,CONFIRMED
1366,CANDIDATE,CONFIRMED
1367,CANDIDATE,CONFIRMED
1368,CANDIDATE,CONFIRMED
1369,CANDIDATE,CONFIRMED
1370,CANDIDATE,CONFIRMED
1371,CANDIDATE,CONFIRMED
1372,CANDIDATE,CONFIRMED
1373,CANDIDATE,CONFIRMED
1374,CANDIDATE,CONFIRMED
1375,CANDIDATE,CONFIRMED
1376,CANDIDATE,CONFIRMED
1377,CANDIDATE,CONFIRMED
1378,CANDIDATE,CONFIRMED
1379,CANDIDATE,CONFIRMED
1380,CANDIDATE,CONFIRMED
1381,CANDIDATE,CONFIRMED
1382,CANDIDATE,CONFIRMED
1383,CANDIDATE,CONFIRMED
1384,CANDIDATE,CONFIRMED
1385,CANDIDATE,CONFIRMED
1386,CANDIDATE,CONFIRMED
1387,CANDIDATE,CONFIRMED
1388,CANDIDATE,CONFIRMED
1389,CANDIDATE,CONFIRMED
1390,CANDIDATE,CONFIRMED
1391,CANDIDATE,CONFIRMED
1392,CANDIDATE,CONFIRMED
1393,CANDIDATE,CONFIRMED
1394,CANDIDATE,CONFIRMED
1395,CANDIDATE,CONFIRMED
1396,CANDIDATE,CONFIRMED
1397,CANDIDATE,CONFIRMED
1398,CANDIDATE,CONFIRMED
1399,CANDIDATE,CONFIRMED
1400,CANDIDATE,CONFIRMED
1401,CANDIDATE,CONFIRMED
1402,CANDIDATE,CONFIRMED
1403,CANDIDATE,CONFIRMED
1404,CANDIDATE,CONFIRMED
1405,CANDIDATE,CONFIRMED
1406,CANDIDATE,CONFIRMED
1407,CANDIDATE,CONFIRMED
1408,CANDIDATE,CONFIRMED
1409,CANDIDATE,CONFIRMED
1410,CANDIDATE,CONFIRMED
1411,CANDIDATE,CONFIRMED
1412,CANDIDATE,CONFIRMED
1413,CANDIDATE,CONFIRMED
1414,CANDIDATE,CONFIRMED
1415,CANDIDATE,CONFIRMED
1416,CANDIDATE,CONFIRMED
1417,CANDIDATE,CONFIRMED
1418,CANDIDATE,CONFIRMED
1419,CANDIDATE,CONFIRMED
1420,CANDIDATE,CONFIRMED
1421,CANDIDATE,CONFIRMED
1422,CANDIDATE,CONFIRMED
1423,CANDIDATE,CONFIRMED
1424,CANDIDATE,CONFIRMED
1425,CANDIDATE,CONFIRMED
1426,CANDIDATE,CONFIRMED
1427,CANDIDATE,CONFIRMED
1428,CANDIDATE,CONFIRMED
1429,CANDIDATE,CONFIRMED
1430,CANDIDATE,CONFIRMED
1431,CANDIDATE,CONFIRMED
1432,CANDIDATE,CONFIRMED
1433,CANDIDATE,CONFIRMED
1434,CANDIDATE,CONFIRMED
1435,CANDIDATE,CONFIRMED
1436,CANDIDATE,CONFIRMED
1437,CANDIDATE,CONFIRMED
1438,CANDIDATE,CONFIRMED
1439,CANDIDATE,CONFIRMED
1440,CANDIDATE,CONFIRMED
1441,CANDIDATE,CONFIRMED
1442,CANDIDATE,CONFIRMED
1443,CANDIDATE,CONFIRMED
1444,CANDIDATE,CONFIRMED
1445,CANDIDATE,CONFIRMED
1446,CANDIDATE,CONFIRMED
1447,CANDIDATE,CONFIRMED
1448,CANDIDATE,CONFIRMED
1449,CANDIDATE,CONFIRMED
1450,CANDIDATE,CONFIRMED
1451,CANDIDATE,CONFIRMED
1452,CANDIDATE,CONFIRMED
1453,CANDIDATE,CONFIRMED
1454,CANDIDATE,CONFIRMED
1455,CANDIDATE,CONFIRMED
1456,CANDIDATE,CONFIRMED
1457,CANDIDATE,CONFIRMED
1458,CANDIDATE,CONFIRMED
1459,CANDIDATE,CONFIRMED
1460,CANDIDATE,CONFIRMED
1461,CANDIDATE,CONFIRMED
1462,CANDIDATE,CONFIRMED
1463,CANDIDATE,CONFIRMED
1464,CANDIDATE,CONFIRMED
1465,CANDIDATE,CONFIRMED
1466,CANDIDATE,CONFIRMED
1467,CANDIDATE,CONFIRMED
1468,CANDIDATE,CONFIRMED
1469,CANDIDATE,CONFIRMED
1470,CANDIDATE,CONFIRMED
1471,CANDIDATE,CONFIRMED
1472,CANDIDATE,CONFIRMED
1473,CANDIDATE,CONFIRMED
1474,CANDIDATE,CONFIRMED
1475,CANDIDATE,CONFIRMED
1476,CANDIDATE,CONFIRMED
1477,CANDIDATE,CONFIRMED
1478,CANDIDATE,CONFIRMED
1479,CANDIDATE,CONFIRMED
1480,CANDIDATE,CONFIRMED
1481,CANDIDATE,CONFIRMED
1482,CANDIDATE,CONFIRMED
1483,CANDIDATE,CONFIRMED
1484,CANDIDATE,CONFIRMED
1485,CANDIDATE,CONFIRMED
1487,CANDIDATE,CONFIRMED
1488,CANDIDATE,CONFIRMED
1489,CANDIDATE,CONFIRMED
1490,CANDIDATE,CONFIRMED
1494,CANDIDATE,CONFIRMED
1495,CANDIDATE,CONFIRMED
1496,CANDIDATE,CONFIRMED
1497,CANDIDATE,CONFIRMED
1498,CANDIDATE,CONFIRMED
1499,CANDIDATE,CONFIRMED
1500,CANDIDATE,CONFIRMED
1501,CANDIDATE,CONFIRMED
1502,CANDIDATE,CONFIRMED
1503,CANDIDATE,CONFIRMED
1504,CANDIDATE,CONFIRMED
1505,CANDIDATE,CONFIRMED
1506,CANDIDATE,CONFIRMED
1507,CANDIDATE,CONFIRMED
1508,CANDIDATE,CONFIRMED
1509,CANDIDATE,CONFIRMED
1510,CANDIDATE,CONFIRMED
1511,CANDIDATE,CONFIRMED
1512,CANDIDATE,CONFIRMED
1513,CANDIDATE,CONFIRMED
1514,CANDIDATE,CONFIRMED
1515,CANDIDATE,CONFIRMED
1516,CANDIDATE,CONFIRMED
1517,CANDIDATE,CONFIRMED
1518,CANDIDATE,CONFIRMED
1519,CANDIDATE,CONFIRMED
1520,CANDIDATE,CONFIRMED
1521,CANDIDATE,CONFIRMED
1522,CANDIDATE,CONFIRMED
1523,CANDIDATE,CONFIRMED
1541,CANDIDATE,CONFIRMED
1542,CANDIDATE,CONFIRMED
1543,CANDIDATE,CONFIRMED
1544,CANDIDATE,CONFIRMED
1545,CANDIDATE,CONFIRMED
1546,CANDIDATE,CONFIRMED
1548,CANDIDATE,CONFIRMED
1549,CANDIDATE,CONFIRMED
1550,CANDIDATE,CONFIRMED
1553,CANDIDATE,CONFIRMED
1554,CANDIDATE,CONFIRMED
1555,CANDIDATE,CONFIRMED
1556,CANDIDATE,CONFIRMED
1557,CANDIDATE,CONFIRMED
1558,CANDIDATE,CONFIRMED
1559,CANDIDATE,CONFIRMED
1560,CANDIDATE,CONFIRMED
1561,CANDIDATE,CONFIRMED
1564,CANDIDATE,CONFIRMED
1565,CANDIDATE,CONFIRMED
1566,CANDIDATE,CONFIRMED
1567,CANDIDATE,CONFIRMED
1568,CANDIDATE,CONFIRMED
1569,CANDIDATE,CONFIRMED
1570,CANDIDATE,CONFIRMED
1571,CANDIDATE,CONFIRMED
1572,CANDIDATE,CONFIRMED
1573,CANDIDATE,CONFIRMED
1574,CANDIDATE,CONFIRMED
1575,CANDIDATE,CONFIRMED
1576,CANDIDATE,CONFIRMED
1577,CANDIDATE,CONFIRMED
1578,CANDIDATE,CONFIRMED
1579,CANDIDATE,CONFIRMED
1580,CANDIDATE,CONFIRMED
1581,CANDIDATE,CONFIRMED
1582,CANDIDATE,CONFIRMED
1583,CANDIDATE,CONFIRMED
1584,CANDIDATE,CONFIRMED
1585,CANDIDATE,CONFIRMED
1586,CANDIDATE,CONFIRMED
1587,CANDIDATE,CONFIRMED
1588,CANDIDATE,CONFIRMED
1589,CANDIDATE,CONFIRMED
1590,CANDIDATE,CONFIRMED
1591,CANDIDATE,CONFIRMED
1592,CANDIDATE,CONFIRMED
1593,CANDIDATE,CONFIRMED
1594,CANDIDATE,CONFIRMED
1595,CANDIDATE,CONFIRMED
1596,CANDIDATE,CONFIRMED
1597,CANDIDATE,CONFIRMED
1598,CANDIDATE,CONFIRMED
1599,CANDIDATE,CONFIRMED
1600,CANDIDATE,CONFIRMED
1602,CANDIDATE,CONFIRMED
1603,CANDIDATE,CONFIRMED
1604,CANDIDATE,CONFIRMED
1605,CANDIDATE,CONFIRMED
1606,CANDIDATE,CONFIRMED
1607,CANDIDATE,CONFIRMED
1608,CANDIDATE,CONFIRMED
1609,CANDIDATE,CONFIRMED
1610,CANDIDATE,CONFIRMED
1611,CANDIDATE,CONFIRMED
1612,CANDIDATE,CONFIRMED
1613,CANDIDATE,CONFIRMED
1614,CANDIDATE,CONFIRMED
1615,CANDIDATE,CONFIRMED
1617,CANDIDATE,CONFIRMED
1618,CANDIDATE,CONFIRMED
1619,CANDIDATE,CONFIRMED
1620,CANDIDATE,CONFIRMED
1621,CANDIDATE,CONFIRMED
1622,CANDIDATE,CONFIRMED
1623,CANDIDATE,CONFIRMED
1624,CANDIDATE,CONFIRMED
1625,CANDIDATE,CONFIRMED
1626,CANDIDATE,CONFIRMED
1627,CANDIDATE,CONFIRMED
1628,CANDIDATE,CONFIRMED
1629,CANDIDATE,CONFIRMED
1630,CANDIDATE,CONFIRMED
1631,CANDIDATE,CONFIRMED
1632,CANDIDATE,CONFIRMED
1633,CANDIDATE,CONFIRMED
1634,CANDIDATE,CONFIRMED
1635,CANDIDATE,CONFIRMED
1636,CANDIDATE,CONFIRMED
1637,CANDIDATE,CONFIRMED
1638,CANDIDATE,CONFIRMED
1639,CANDIDATE,CONFIRMED
1640,CANDIDATE,CONFIRMED
1641,CANDIDATE,CONFIRMED
1642,CANDIDATE,CONFIRMED
1643,CANDIDATE,CONFIRMED
1644,CANDIDATE,CONFIRMED
1645,CANDIDATE,CONFIRMED
1646,CANDIDATE,CONFIRMED
1647,CANDIDATE,CONFIRMED
1648,CANDIDATE,CONFIRMED
1649,CANDIDATE,CONFIRMED
1650,CANDIDATE,CONFIRMED
1651,CANDIDATE,CONFIRMED
1653,CANDIDATE,CONFIRMED
1654,CANDIDATE,CONFIRMED
1655,CANDIDATE,CONFIRMED
1656,CANDIDATE,CONFIRMED
1657,CANDIDATE,CONFIRMED
1658,CANDIDATE,CONFIRMED
1659,CANDIDATE,CONFIRMED
1660,CANDIDATE,CONFIRMED
1661,CANDIDATE,CONFIRMED
1662,CANDIDATE,CONFIRMED
1663,CANDIDATE,CONFIRMED
1664,CANDIDATE,CONFIRMED
1665,CANDIDATE,CONFIRMED
1666,CANDIDATE,CONFIRMED
1667,CANDIDATE,CONFIRMED
1668,CANDIDATE,CONFIRMED
1669,CANDIDATE,CONFIRMED
1670,CANDIDATE,CONFIRMED
1671,CANDIDATE,CONFIRMED
1672,CANDIDATE,CONFIRMED
1673,CANDIDATE,CONFIRMED
1674,CANDIDATE,CONFIRMED
1675,CANDIDATE,CONFIRMED
1676,CANDIDATE,CONFIRMED
1680,CANDIDATE,CONFIRMED
1681,CANDIDATE,CONFIRMED
1682,CANDIDATE,CONFIRMED
1683,CANDIDATE,CONFIRMED
1684,CANDIDATE,CONFIRMED
1685,CANDIDATE,CONFIRMED
1688,CANDIDATE,CONFIRMED
1690,CANDIDATE,CONFIRMED
1691,CANDIDATE,CONFIRMED
1692,CANDIDATE,CONFIRMED
1705,CANDIDATE,CONFIRMED
1711,CANDIDATE,CONFIRMED
1714,CANDIDATE,CONFIRMED
1715,CANDIDATE,CONFIRMED
2463,CANDIDATE,CONFIRMED
