,K2_Data,K2_Model4_Merged
217,CANDIDATE,CONFIRMED
218,CANDIDATE,CONFIRMED
219,CANDIDATE,CONFIRMED
220,CANDIDATE,CONFIRMED
221,CANDIDATE,CONFIRMED
222,CANDIDATE,CONFIRMED
223,CANDIDATE,CONFIRMED
224,CANDIDATE,CONFIRMED
225,CANDIDATE,CONFIRMED
226,CANDIDATE,CONFIRMED
227,CANDIDATE,CONFIRMED
228,CANDIDATE,CONFIRMED
229,CANDIDATE,CONFIRMED
230,CANDIDATE,CONFIRMED
234,CANDIDATE,CONFIRMED
235,CANDIDATE,CONFIRMED
241,CANDIDATE,CONFIRMED
242,CANDIDATE,CONFIRMED
243,CANDIDATE,CONFIRMED
244,CANDIDATE,CONFIRMED
245,CANDIDATE,CONFIRMED
246,CANDIDATE,CONFIRMED
247,CANDIDATE,CONFIRMED
248,CANDIDATE,CONFIRMED
249,CANDIDATE,CONFIRMED
250,CANDIDATE,CONFIRMED
251,CANDIDATE,CONFIRMED
252,CANDIDATE,CONFIRMED
253,CANDIDATE,CONFIRMED
254,CANDIDATE,CONFIRMED
255,CANDIDATE,CONFIRMED
256,CANDIDATE,CONFIRMED
257,CANDIDATE,CONFIRMED
258,CANDIDATE,CONFIRMED
259,CANDIDATE,CONFIRMED
260,CANDIDATE,CONFIRMED
262,CANDIDATE,CONFIRMED
263,CANDIDATE,CONFIRMED
264,CANDIDATE,CONFIRMED
265,CANDIDATE,CONFIRMED
266,CANDIDATE,CONFIRMED
267,CANDIDATE,CONFIRMED
268,CANDIDATE,CONFIRMED
269,CANDIDATE,CONFIRMED
270,CANDIDATE,CONFIRMED
271,CANDIDATE,CONFIRMED
272,CANDIDATE,CONFIRMED
273,CANDIDATE,CONFIRMED
276,CANDIDATE,CONFIRMED
277,CANDIDATE,CONFIRMED
278,CANDIDATE,CONFIRMED
280,CANDIDATE,CONFIRMED
281,CANDIDATE,CONFIRMED
282,CANDIDATE,CONFIRMED
287,CANDIDATE,CONFIRMED
288,CANDIDATE,CONFIRMED
289,CANDIDATE,CONFIRMED
290,CANDIDATE,CONFIRMED
295,CANDIDATE,CONFIRMED
296,CANDIDATE,CONFIRMED
298,CANDIDATE,CONFIRMED
299,CANDIDATE,CONFIRMED
300,CANDIDATE,CONFIRMED
301,CANDIDATE,CONFIRMED
303,CANDIDATE,CONFIRMED
304,CANDIDATE,CONFIRMED
305,CANDIDATE,CONFIRMED
306,CANDIDATE,CONFIRMED
309,CANDIDATE,CONFIRMED
310,CANDIDATE,CONFIRMED
311,CANDIDATE,CONFIRMED
312,CANDIDATE,CONFIRMED
313,CANDIDATE,CONFIRMED
