row_id,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
6744,0,1,0,1,7.2269859,136.1514,2454969.151,0,0.561,14.241,160,0.011875,0.0136,0.79,0.0616,80.36,603,31.23,3.35,0.1171,0.6215,3.6976912,17.458336,26.2,1,192,1,1.11E+31,0.324,4347,4.645,-0.34,0.609,0.597,281.9617,43.713871,14.941,16.034,14.89,14.473,14.223,13.128,12.494,12.365,0,18.797388,43.71412,-2.27,0.91,0.00047,-0.000156,-3.2,1.81,3.67,-3.19,1.94,3.73
6745,0.768,0,1,0,0.762724045,131.650802,2454964.651,0,1.252,1.98818,9780,0.384859,0.33111,41.02,0.0155,54.72,1860,2827.5,2.167,0.1914,0.5167,79.63406,1225.5574,451.7,2,1755,1,1.11E+31,0.1052,5313,4.39,0.14,0.976,0.854,283.5701,43.736118,14.5,15.165,14.427,14.215,14.112,13.125,12.657,12.612,0,18.90467198,43.7361132,-0.0281,-0.0246,0.00097,-0.00029,-0.315,0.047,0.318,-0.247,0.039,0.25
6746,0.269306122,1,0,0,206.7642577,325.9501578,2455158.95,0,0.69544898,2.57,10231.17449,0.10857801,2.861124388,17.37489796,0.09180102,72.65908163,1580.163265,31090.7949,17.74603716,0.246305102,0.42002551,73.13507722,290.5218273,103.6081633,1,513.6122449,1,8.91E+30,0.505287755,5632.693878,4.29494898,-0.153367347,2.228591837,1.011989796,287.27939,43.76498,15.996,16.802,15.949,15.65,15.482,14.379,13.786,13.818,0.007,19.1519,43.76479,-2.3,-0.7,0.0031,0.0013,-2.8,3.5,4.5,-2.8,3.6,4.6
6747,0.269306122,0,0,0,529.39169,387.3915,2455220.391,0,0.037,10.869,320,0.016075,3.64148,4.4,1.3401,89.95,319,2.43,377.9,0.2242,0.4664,73.13507722,290.5218273,12.1,1,513.6122449,1,8.91E+30,0.505287755,5283,3.699,-0.26,2.504,1.144,288.03607,43.796139,13.156,13.824,13.109,12.87,12.739,11.702,11.211,11.145,0.001,19.202396,43.79564,-0.34,-1.81,0.00017,0.00054,-0.94,-0.71,1.18,-0.84,-0.75,1.13
6748,0.269306122,1,0,0,362.49906,404.3391,2455237.339,0,0.5297,12.17,523,0.021571,1.12962,2.51,0.9847,89.95,277,1.4,198.7,0.2946,0.3368,73.13507722,290.5218273,10.3,1,513.6122449,1,8.91E+30,0.505287755,6043,4.369,-0.24,1.065,0.968,294.31674,43.797642,15.259,15.759,15.214,15.045,14.925,14.034,13.668,13.518,0,19.621198,43.7972,3.2,-1.6,-0.0024,0.001,0.151989796,0.246765306,3.694367347,0.094357143,0.265214286,3.797520408
6749,0.269306122,1,0,0,190.65896,164.9278,2454997.928,0,0.9508,35.472,553,0.027887,0.00216,2.54,0.6264,86.52,281,1.46,16.07,0.24,0.4414,73.13507722,290.5218273,18.3,1,513.6122449,1,8.91E+30,0.505287755,5508,4.549,-0.06,0.835,0.9,295.27673,43.706509,15.043,15.653,14.987,14.782,14.679,13.677,13.295,13.205,0,19.685109,43.70767,-0.2,4.2,0.00012,-0.00169,-2.3,2.8,3.7,-2.3,2.9,3.7
6750,0.562653061,0,0,0,509.997402,276.73122,2455109.731,0,0.0254,8.481,1270,0.031704,7.73631,2.62,1.1218,89.95,182,0.26,473.8,0.1707,0.5423,22.098549,21.980738,35.3,1,3,1,1.11E+31,0.468163265,5037,4.54,-0.2,0.756,0.724,297.5083,43.710949,14.15,14.842,14.049,13.854,13.481,12.499,11.836,11.803,0.23,19.8338847,43.7111,-0.05,0.54,-0.00038,-0.00017,0.23,-0.089,0.25,0.04,0.289,0.292
6751,0,0,0,0,1.50650036,132.9895,2454965.99,0,0.684,2.762,45.4,0.006558,0.26847,0.81,0.0258,77.59,1809,2520.53,3.18,0.3032,0.3147,3.5786028,11.423046,15,1,894,1,1.11E+31,0.1369,6201,4.336,-0.24,1.126,0.998,293.79514,45.098499,13.912,14.317,13.859,13.739,13.641,12.801,12.517,12.473,0,19.586387,45.09778,1.68,-2.61,-5.90E-05,8.80E-05,0,-1.7,1.7,0.03,-1.7,1.7
6752,0.269306122,1,0,0,194.4873221,155.0535312,2454988.054,0,0.69544898,3.6,10231.17449,0.10857801,2.861124388,17.37489796,0.09180102,72.65908163,1580.163265,31090.7949,17.74603716,0.246305102,0.42002551,73.13507722,290.5218273,103.6081633,1,513.6122449,1,8.91E+30,0.505287755,5632.693878,4.29494898,-0.153367347,2.228591837,1.011989796,297.73325,45.078861,13.989,14.816,13.928,13.634,13.429,12.369,11.875,11.79,0.105,19.848918,45.07848,1.3,-1.4,-0.00041,0.00036,0.6,-0.54,0.8,0.55,-0.7,0.9
6753,0.269306122,0,0,0,495.51899,452.8313,2455285.831,0,0.6052,3.592,298,0.016489,49.11715,2.94,1.2514,89.95,305,2.03,861,0.2935,0.339,73.13507722,290.5218273,6.6,1,513.6122449,1,8.91E+30,0.505287755,6043,4.038,-0.18,1.634,1.062,299.07831,45.05481,13.5,13.986,13.463,13.292,13.211,12.324,11.993,11.951,0.312,19.938532,45.05434,-0.9,-1.7,0.00022,0.00044,-0.2,2.92,2.9,-0.4,2.93,3
