,sy_pnum,pl_orbper,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,st_teff,st_mass,st_met,st_logg
1474,0.0,9.073266,0.14877457627118643,84.81864406779661,774.8983050847457,88.16567796610171,0.500593220338983,5280.019830508475,0.9208474576271187,-0.15108474576271191,4.300508474576271
1475,0.0,2.010607,0.10842457627118644,46.91406779661017,652.9491525423729,88.3227627118644,0.133,3806.0,0.61,-0.307,4.64
1476,0.0,13.6094,0.15426610169491528,47.16677966101695,765.8644067796611,88.61562711864407,0.41994915254237297,5299.724745762712,0.9022033898305084,-0.08038983050847456,4.349491525423729
1477,0.0,5.235869999999999,0.09623728813559322,244.21677966101694,1059.1525423728813,86.7772033898305,0.4325084745762713,5232.272372881356,0.9515254237288135,-0.09769491525423728,4.3008474576271185
1478,0.0,5.235714,0.09672881355932204,245.66593220338984,1056.7796610169491,87.51605084745763,0.44,5194.842372881355,0.9354237288135594,-0.09871186440677966,4.307796610169492
1479,0.0,2.43807,0.07576271186440679,468.9162711864407,1295.949152542373,85.67150847457627,0.536728813559322,5468.2584745762715,1.0408474576271187,-0.060559322033898313,4.275084745762711
1480,0.0,6.80111,0.09689830508474576,181.33440677966098,862.4915254237288,88.23650847457627,0.4191694915254237,5317.918983050848,1.1408474576271186,-0.03622033898305085,4.439661016949152
1481,0.0,0.728639,0.06491525423728813,555.5772881355932,1389.2203389830509,82.32547457627118,0.67,5396.583728813559,0.988135593220339,-0.14757627118644065,4.26271186440678
1482,0.0,17.1057,0.15292711864406777,46.78779661016949,669.8135593220339,88.34250847457628,0.4737457627118644,5189.482203389832,0.9261016949152544,-0.10883050847457626,4.30864406779661
1483,0.0,7.3038300000000005,0.11330508474576272,131.6798305084746,818.0,88.24354237288136,0.39445762711864407,5124.065762711864,1.1203389830508474,-0.08484745762711864,4.418474576271186
1484,0.0,4.684558999999999,0.08842457627118644,472.1622033898305,900.6949152542373,86.40238983050847,0.625,5829.0,0.9,0.027000000000000003,4.24
1485,0.0,57.8415,0.11259237288135593,27.533389830508476,484.6271186440678,89.2483220338983,0.45962711864406774,5093.421694915254,0.791864406779661,-0.11469491525423728,4.4869491525423735
1486,1.0,0.762406,0.0965228813559322,281.2622033898305,916.2203389830509,92.6,0.6194915254237288,5620.0,0.7879661016949153,0.28,4.5
1487,0.0,9.4538,0.14877457627118643,72.964406779661,778.5932203389831,88.16862711864407,0.4816949152542373,5266.694745762713,0.9227118644067799,-0.12737288135593222,4.305932203389831
1488,0.0,7.511139999999999,0.11550847457627118,118.89338983050845,808.3559322033898,88.34450847457629,0.40859322033898304,5164.156101694915,1.1228813559322033,-0.11638983050847458,4.381694915254237
1489,0.0,10.4347,0.1530457627118644,64.59152542372883,801.7796610169491,88.25545762711864,0.476864406779661,5131.244915254237,0.8452542372881356,-0.08761016949152542,4.370847457627119
1490,0.0,15.246592999999999,0.15775762711864405,53.621694915254245,700.728813559322,88.68201694915255,1.06,5277.4144067796615,0.9194915254237287,-0.0724406779661017,4.327118644067797
1491,2.0,0.70531,0.1199635593220339,259.21949152542373,979.3050847457627,91.3,0.5930677966101695,5499.0,0.7738983050847458,-0.23,4.5
1492,2.0,0.70531,0.06188135593220339,635.5891525423731,1362.8983050847457,84.73308474576272,0.25,4945.754237288135,0.94,-0.019322033898305082,4.573898305084746
1493,2.0,0.705386,0.06093220338983051,622.375593220339,1368.7796610169491,85.14903389830509,0.41990169491525425,4920.480169491525,0.8066101694915253,-0.012559322033898306,4.5486440677966105
1494,0.0,4.284523,0.1208313559322034,109.91254237288136,760.7118644067797,89.045,0.4489830508474576,4360.0,0.669322033898305,-0.2,4.69
1495,0.0,4.28446,0.09042372881355931,395.68745762711865,1198.7288135593221,86.77023728813559,0.5168135593220339,5013.021186440677,0.9379661016949155,-0.08706779661016949,4.401525423728813
1496,0.0,4.28475,0.08572881355932203,420.0976271186441,1230.7457627118645,86.74777966101695,0.5,5130.156779661016,0.9476271186440678,-0.09706779661016948,4.391525423728814
1497,0.0,6.53046,0.08961016949152542,183.21406779661015,885.6779661016949,88.14438983050847,0.39949152542372884,5357.376610169492,1.13271186440678,-0.047711864406779665,4.407796610169491
1498,0.0,6.53074,0.12123813559322034,42.07372881355932,631.6271186440678,88.15608474576271,0.8270000000000001,3628.0,0.6088135593220338,-0.009440677966101698,4.817457627118644
1499,0.0,4.620381015254237,0.09335084745762712,278.69288135593223,892.1186440677966,85.16330508474577,0.46640677966101696,5421.473050847459,0.918813559322034,-0.097,4.325254237288136
1500,0.0,14.753,0.16285932203389827,48.13389830508475,735.9830508474577,88.69622033898305,0.4053559322033898,5149.489661016949,0.8920338983050848,-0.05764406779661017,4.352881355932204
1501,0.0,21.776971,0.158128813559322,34.33,626.1355932203389,88.58123728813558,0.91,5087.668644067797,0.9503389830508474,-0.1084406779661017,4.374745762711863
1502,0.0,21.77635,0.12840084745762714,33.363898305084746,619.4915254237288,88.56977966101695,0.4617118644067796,5040.126271186441,0.9593220338983053,-0.08396610169491527,4.382881355932204
1503,0.0,8.78627,0.1514915254237288,88.0135593220339,772.0847457627119,88.14616949152543,0.5044067796610169,5224.315762711864,0.9362711864406777,-0.12608474576271186,4.323898305084746
1504,0.0,57.104119999999995,0.11259237288135593,27.533389830508476,484.6271186440678,89.2483220338983,0.45962711864406774,5104.506440677967,0.7918644067796611,-0.11469491525423728,4.47406779661017
1505,0.0,20.21535,0.15448474576271184,32.66389830508474,661.1864406779661,88.46650847457627,0.45488135593220347,5088.134915254237,0.9076271186440678,-0.08949152542372883,4.423389830508475
1506,0.0,39.3266,0.10552457627118643,27.386949152542375,505.1186440677966,89.22496610169492,0.4238474576271187,5175.281694915254,0.8303389830508474,-0.0925593220338983,4.469152542372881
1507,0.0,7.64514,0.12805084745762713,118.925593220339,794.0169491525423,88.13411864406781,0.4051016949152542,5174.39186440678,1.11864406779661,-0.08650847457627119,4.39864406779661
1508,0.0,46.47688,0.11259237288135593,27.533389830508472,493.08474576271186,89.22979661016949,0.44940677966101694,5139.335423728813,0.8,-0.09440677966101695,4.465084745762712
1509,0.0,4.620381015254237,0.09335084745762712,278.69288135593223,892.1186440677966,85.16330508474577,0.46640677966101696,5421.473050847459,0.918813559322034,-0.097,4.325254237288136
